"group","biomass","prop_biomass","Relative_total_impact","Keystone_index_1","Keystone_index_2","Keystone_index_3"
"Phytoplankton",22.126,0.192506312261021,5.4984722768972,-0.0719832042102462,0.7364326851511,0.321907655361857
"Bacteria",5.484,0.0477133063562974,-1.09906905737137,-0.331510659846723,1.01108211159348,0.388691628538348
"Microzooplankton",4.885,0.0425017325949148,-0.690750498206164,-0.321160941216494,1.06929442745265,0.475852312382459
"GelZooplankton",1.283,0.0111626863703737,-0.248059416190642,-0.222601541147683,1.7345048898941,1.01272253413867
"LgCopepods",9.84865605397604,0.0856878088076517,1.1430211128374,-0.130308443042692,0.975678009108328,0.510657037713189
"SmCopepods",12.509343946024,0.108837009484489,0.423402759532054,-0.282463412031894,0.730802845604863,0.244700700482709
"Micronekton",3.09483032776,0.0269264382839484,3.3254685078546,-0.00802048330823821,1.57365493313774,0.848931883714378
"Illex",0.350393015527968,0.00304857937545456,-0.539400876768904,-0.403119038102582,2.11410945816709,1.08956865917401
"Loligo",0.0637455755494173,0.000554615640964233,0.0291858027895413,-0.778138124203995,2.47811069597947,0.813167416153827
"OtherCephalopods",0.00521177273141601,4.53448047034006e-05,0.241030151933729,-0.904469258670868,3.43902289900963,0.811553778408898
"Macrobenthos",23.1136,0.201098883624529,2.3364983646014,0.0759080456155708,0.870005357906731,0.173415017578299
"AmLobster",0.25185353306828,0.00219124084248773,-0.0176915192273526,-0.907355946003157,1.75290662784305,0.625075659011524
"OceanPout",0.157349754509541,0.00136901477789969,-0.368149200951739,-0.386402086110812,2.47778474062919,1.18239460086937
"SmPelagics",2.79354897873675,0.0243051528526237,0.989630355203868,-0.149784727242291,1.47520290471072,0.860901261363504
"SmFlatfishes",0.000748958680911673,6.51628282103338e-06,0.00179536256773961,-2.63013288127483,2.55587002333702,-0.881942024273739
"NShrimp",0.442188325175928,0.00384724052266541,-0.127908602534986,-1.01396531248568,1.4025594066863,0.450106743062865
"OtherShrimps",2.56980463138529,0.0223584747726328,0.681149501275554,-0.286638744533741,1.37373944158883,0.764574300718946
"RiverHerring",0.58047584854897,0.00505040517765294,-0.113632885384187,-0.698381688937025,1.60049101001221,0.7351809957275
"AtlScallop",0.0513972739139256,0.000447179773182653,0.0678268799896864,-1.18542517121292,2.16428692859858,0.438018370328723
"OtherPelagics",0.446841096470877,0.00388772175939074,-0.636842287745555,-0.478206842819728,1.93378968854824,0.970642895207124
"AtlHerring",3.08430544290179,0.0268348669754866,-1.39641092743296,-0.225405189572804,1.35770882321297,0.689498256969564
"Mesopelagics",0.0105822280336885,9.20702202960576e-05,0.00825849087608002,-2.32061209180036,1.71530871334168,-0.648474246435162
"YTFlounder",0.0434547794307225,0.000378076441215061,-0.0748768363550251,-1.38895675440477,2.03362785680522,0.244675928734211
"Cod",1.99645092794453,0.0173700355124602,-2.06012026096022,-0.142149293178679,1.62565999702115,0.979404055676624
"Haddock",1.21334782648279,0.0105566806275931,-0.803267001172409,-0.596637153909655,1.38444454256045,0.663244430659171
"AmPlaice",0.653479947386868,0.00568557420265623,-0.753935028544057,-0.551312756638703,1.69638917113249,0.849103511704664
"AtlMackerel",0.925115831957422,0.00804893054435548,-0.569958599109092,-0.472122376527296,1.62564919368146,0.87381005430758
"AtlHalibut",0.0150173694305186,0.000130657977444207,-0.143365325637889,-1.00040225870896,2.88351855791106,0.662412320718589
"SummerFlounder",0.00819195344327615,7.12737389306273e-05,-0.157633340135926,-1.08903760945674,3.05806380350154,0.601189425466445
"Cusk",0.195865586383785,0.00170412011812279,-0.276677877420125,-0.716506600085203,2.0527339176212,0.840536621964314
"OtherDemersals",1.12059118806577,0.00974965548073477,-0.412514176630868,-0.539230079058357,1.47603564927176,0.743778519722166
"HMS",0.00587,5.10716827701433e-05,-0.0160662735647531,-1.76651194778338,2.52533006519405,-0.0589195909690254
"OtherSkates",0.410229597465738,0.00356918498546742,-0.334209502960825,-0.679236874160778,1.76974691867347,0.799437230759213
"RedHake",0.766523082146475,0.00666910113924655,-0.643732761573477,-0.484966396769294,1.69387235455325,0.898150899960857
"Barndoor",2.5e-05,2.1751142576722e-07,-3.52297835309074e-05,-4.71656124824621,1.9459567710544,-2.9606862981097
"Fourspot",0.00810379404276586,7.05067118546363e-05,-0.258495660884531,-0.783265580170012,3.36853458015877,0.915735045921435
"SmoothDogfish",0.00331000567003176,2.87985621034476e-05,-0.0643246030883994,-1.33650283433857,3.204138868685,0.395903432721101
"Pollock",1.02955005251116,0.00895755599281673,-0.831276306189525,-0.64366142522999,1.40805678850005,0.66127631574349
"Goosefish",0.283685221585256,0.00246819108064395,-0.571443879962495,-0.655575569851754,1.95311889838853,0.850647655269372
"SilverHake",2.80390980410353,0.0243952967685298,-1.38907275930153,-0.200359603769882,1.42306040525213,0.764609020359699
"WhiteHake",1.36801568806109,0.0119023617112837,-0.705749796778032,-0.654739277054295,1.27482771739878,0.554580844339011
"SpinyDogfish",1.01661924596706,0.0088450520661077,-1.75695952829048,0.0370194194357455,2.09417747237486,1.36309716082222
"Redfish",1.41798959491704,0.0123371575405395,-0.314158711215225,-0.658495318655431,1.25568085562352,0.522987225214586
"LittleSkate",0.0668299682933056,0.000581451267498201,-0.0719772598816057,-1.23400319956521,2.00173607338539,0.346032991571387
"SeaBirds",0.0035,3.04515996074108e-05,-0.244101067680965,-1.06084901367356,3.45555410064783,0.663440081090268
"Windowpane",0.033519469,0.000291634699726006,-0.0176789743721821,-2.19136506900328,1.34392240819887,-0.538025881414974
"WinterFlounder",0.266075424525196,0.00231497779800375,-0.115644450662505,-1.31109699516701,1.32536272219922,0.208423492311993
"WitchFlounder",0.863278223693357,0.00751091509077342,-0.218466286028909,-0.959894379675883,1.16768702869499,0.405107717117901
"BlackSeaBass",0.00244449985836604,2.12682659792386e-05,-0.045894973759193,-1.43176815708619,3.24050899677433,0.308603769196839
"Butterfish",0.0545383938581079,0.00047450895228525,0.154896364905255,-0.946259402410258,2.37770231269465,0.666730579837141
"Sharks",0.00888,7.72600584325166e-05,-1.43341068495303,0.141318210265362,4.25339673290868,1.82259300255424
"WinterSkate",0.216641243173886,0.0018848778273094,-0.160373779839816,-1.04012298183049,1.68541317699418,0.504764427003034
"Pinnipeds",0.063,0.000548128792933395,-0.739064600242554,-0.525009148741195,2.73634634988869,1.0772889571616
"BaleenWhales",0.602,0.00523767513247466,-0.960871337249502,-0.34922320779631,1.93391890579787,1.06803081151788
"Odontocetes",0.0336,0.000292335356231144,-0.463164302116739,-0.707276556502807,2.82696907780907,0.936303098176469
"Megabenthos",2.50479070702381,0.0217928239173293,0.387039961823848,-0.136152561522303,1.53510308418093,0.952597840064108
"Krill",1.77916967224,0.0154795892836288,0.568115204160002,-0.229644253024997,1.58737158930904,0.923259058451724
